,BIS_LONG_CPI:M:KR:771
1966-01,7.420778
1966-02,8.084772
1966-03,9.596553
1966-04,9.024296
1966-05,9.867675
1966-06,11.026326
1966-07,9.155991
1966-08,10.253542
1966-09,12.893553
1966-10,16.515837
1966-11,15.535098
1966-12,15.258126
1967-01,13.181479
1967-02,11.619463
1967-03,11.401001
1967-04,13.229572
1967-05,11.218169
1967-06,9.828179
1967-07,10.493614
1967-08,9.570511
1967-09,9.296149
1967-10,8.220065
1967-11,11.719788
1967-12,11.546118
1968-01,13.097987
1968-02,13.240078
1968-03,12.80077
1968-04,9.778194
1968-05,8.941832
1968-06,10.607009
1968-07,10.371759
1968-08,9.722222
1968-09,8.535844
1968-10,9.748804
1968-11,11.649331
1968-12,11.035098
1969-01,11.726954
1969-02,10.686584
1969-03,10.437998
1969-04,11.070006
1969-05,11.559216
1969-06,11.513437
1969-07,11.576564
1969-08,11.448664
1969-09,14.469633
1969-10,14.441417
1969-11,13.042321
1969-12,16.287168
1970-01,14.882507
1970-02,16.480664
1970-03,18.104558
1970-04,20.010249
1970-05,18.049898
1970-06,15.144597
1970-07,15.956367
1970-08,16.203937
1970-09,15.305623
1970-10,14.5
1970-11,13.020956
1970-12,14.42064
1971-01,15.863636
1971-02,15.842246
1971-03,15.503707
1971-04,12.596072
1971-05,11.710157
1971-06,13.945803
1971-07,15.160796
1971-08,15.356212
1971-09,14.503817
1971-10,11.3953
1971-11,11.791667
1971-12,9.079928
1972-01,7.905061
1972-02,9.194076
1972-03,10.175571
1972-04,11.376564
1972-05,13.861004
1972-06,14.655839
1972-07,13.848784
1972-08,14.611184
1972-09,12.814815
1972-10,12.413664
1972-11,10.156541
1972-12,9.173127
1973-01,7.871296
1973-02,4.844108
1973-03,2.141878
1973-04,2.025877
1973-05,2.204137
1973-06,1.399663
1973-07,0.884365
1973-08,0.312141
1973-09,1.066973
1973-10,2.391232
1973-11,5.582812
1973-12,8.486898
1974-01,12.773846
1974-02,18.363575
1974-03,22.630431
1974-04,24.244952
1974-05,24.137359
1974-06,23.515716
1974-07,25.521006
1974-08,28.185391
1974-09,29.235017
1974-10,27.846254
1974-11,28.008332
1974-12,26.445379
1975-01,25.433353
1975-02,21.305891
1975-03,19.110807
1975-04,20.628525
1975-05,24.33516
1975-06,26.928773
1975-07,26.472526
1975-08,25.297049
1975-09,27.535503
1975-10,30.534061
1975-11,27.850795
1975-12,26.472763
1976-01,23.040267
1976-02,22.174117
1976-03,21.993798
1976-04,19.516811
1976-05,16.089854
1976-06,15.678371
1976-07,15.805376
1976-08,14.48965
1976-09,11.480095
1976-10,8.746356
1976-11,9.457607
1976-12,9.598519
1977-01,9.711464
1977-02,11.081314
1977-03,10.694784
