,BIS_LONG_CPI:M:XM:771
1991-01,3.897644
1991-02,4.12023
1991-03,3.857167
1991-04,3.860356
1991-05,4.102478
1991-06,4.314381
1991-07,5.033445
1991-08,4.537899
1991-09,3.911537
1991-10,3.64233
1991-11,4.11813
1991-12,4.11813
1992-01,3.865601
1992-02,3.859877
1992-03,4.31398
1992-04,4.18552
1992-05,4.037317
1992-06,3.927541
1992-07,3.327496
1992-08,3.307362
1992-09,3.303685
1992-10,3.19772
1992-11,3.057044
1992-12,3.16735
1993-01,3.376256
1993-02,3.357277
1993-03,3.249378
1993-04,3.226307
1993-05,3.123067
1993-06,3.100416
1993-07,3.328197
1993-08,3.324611
1993-09,3.321033
1993-10,3.298052
1993-11,3.195719
1993-12,3.192302
1994-01,2.946985
1994-02,2.930956
1994-03,2.815841
1994-04,2.704733
1994-05,2.788606
1994-06,2.692998
1994-07,2.564867
1994-08,2.666468
1994-09,2.678571
1994-10,2.569053
1994-11,2.444807
1994-12,2.545885
1995-01,2.449461
1995-02,2.436518
1995-03,2.519039
1995-04,2.633504
1995-05,2.421237
1995-06,2.607809
1995-07,2.398953
1995-08,2.307023
1995-09,2.391304
1995-10,2.388881
1995-11,2.386462
1995-12,2.396074
1996-01,2.218061
1996-02,2.149305
1996-03,2.2
1996-04,2.15253
1996-05,2.292794
1996-06,2.001988
1996-07,2.001988
1996-08,1.829528
1996-09,1.811748
1996-10,1.809955
1996-11,1.723407
1996-12,1.762052
1997-01,2.043117
1997-02,1.823538
1997-03,1.55158
1997-04,1.31175
1997-05,1.350411
1997-06,1.378062
1997-07,1.475501
1997-08,1.699164
1997-09,1.584874
1997-10,1.513889
1997-11,1.624774
1997-12,1.4822
1998-01,1.077051
1998-02,1.115856
1998-03,1.114935
1998-04,1.391185
1998-05,1.318681
1998-06,1.331869
1998-07,1.27572
1998-08,1.136675
1998-09,0.985357
1998-10,0.93036
1998-11,0.806231
1998-12,0.750751
1999-01,0.765027
1999-02,0.735695
1999-03,0.939287
1999-04,1.073224
1999-05,0.935466
1999-06,0.880759
1999-07,1.015847
1999-08,1.110359
1999-09,1.246781
1999-10,1.314898
1999-11,1.450454
1999-12,1.734182
2000-01,1.857375
2000-02,1.934001
2000-03,1.955496
2000-04,1.706989
2000-05,1.75957
2000-06,2.135662
2000-07,2.091714
2000-08,2.049016
2000-09,2.395931
2000-10,2.38159
2000-11,2.458578
2000-12,2.490345
2001-01,1.996539
2001-02,1.976914
2001-03,2.208995
2001-04,2.722347
2001-05,3.088701
2001-06,2.853761
2001-07,2.48227
2001-08,2.322835
2001-09,2.196078
2001-10,2.247778
2001-11,1.969223
2001-12,2.053015
2002-01,2.609944
2002-02,2.472027
2002-03,2.510677
2002-04,2.354303
2002-05,2.06146
2002-06,1.866769
2002-07,1.999231
2002-08,2.141849
2002-09,2.123305
2002-10,2.287832
2002-11,2.276506
2002-12,2.317291
2003-01,2.123871
2003-02,2.361605
2003-03,2.360813
2003-04,2.073906
2003-05,1.806549
2003-06,1.983181
2003-07,1.934916
2003-08,2.021597
2003-09,2.129259
2003-10,2.036736
2003-11,2.163311
2003-12,1.978596
2004-01,1.805729
2004-02,1.637311
2004-03,1.702023
