,exports
2000-01,12162425
2000-02,12676042
2000-03,14429703
2000-04,13522040
2000-05,14636755
2000-06,15250940
2000-07,14455656
2000-08,14786880
2000-09,15133379
2000-10,15248068
2000-11,14989068
2000-12,14976555
2001-01,12644929
2001-02,13354074
2001-03,14124891
2001-04,12121110
2001-05,13306959
2001-06,12931941
2001-07,11392257
2001-08,11766192
2001-09,12447324
2001-10,12086028
2001-11,12348967
2001-12,11914472
2002-01,11381879
2002-02,11023037
2002-03,13251323
2002-04,13184534
2002-05,14173177
2002-06,12894088
2002-07,13395179
2002-08,13959110
2002-09,13900763
2002-10,15084659
2002-11,15196561
2002-12,15026217
2003-01,14319931
2003-02,13337145
2003-03,15378850
2003-04,15720592
2003-05,14676092
2003-06,15656327
2003-07,15431714
2003-08,15375268
2003-09,17021082
2003-10,18929665
2003-11,18242088
2003-12,19728688
2004-01,18987120
2004-02,19136968
2004-03,21174855
2004-04,21483357
2004-05,20834259
2004-06,21657111
2004-07,21003794
2004-08,19798969
2004-09,20831133
2004-10,22663289
2004-11,23076612
2004-12,23197206
2005-01,22454025
2005-02,20401096
2005-03,23952500
2005-04,22872505
2005-05,23122703
2005-06,23707576
2005-07,23235522
2005-08,23342967
2005-09,24519191
2005-10,25352748
2005-11,25826192
2005-12,25631716
2006-01,23257866
2006-02,23786956
2006-03,26840145
2006-04,25590123
2006-05,27934507
2006-06,27948805
2006-07,25774350
2006-08,27287195
2006-09,29651247
2006-10,28015959
2006-11,30602313
2006-12,28775383
2007-01,28092561
2007-02,26225125
2007-03,30385840
2007-04,29944456
2007-05,31039901
2007-06,32000109
2007-07,30207444
2007-08,30998134
2007-09,29323535
2007-10,34433813
2007-11,35807893
2007-12,33030276
2008-01,32274575
2008-02,31178190
2008-03,35991776
2008-04,37850247
2008-05,39383158
2008-06,37258608
2008-07,40961223
2008-08,36610603
2008-09,37428303
2008-10,37111140
2008-11,28841617
2008-12,27117889
2009-01,21133405
2009-02,25397150
2009-03,27890831
2009-04,30326509
2009-05,27823839
2009-06,32210048
2009-07,31908462
2009-08,28949627
2009-09,33922429
2009-10,33970032
2009-11,33991607
2009-12,36009623
2010-01,30735415
2010-02,33039402
2010-03,37308940
2010-04,39301014
2010-05,38887930
2010-06,42049045
2010-07,40423611
2010-08,36480955
2010-09,39410882
2010-10,43340335
2010-11,41260912
2010-12,44145320
2011-01,44465366
2011-02,38467412
2011-03,48052991
2011-04,48536725
2011-05,47331329
2011-06,46736893
2011-07,48950113
2011-08,45792061
2011-09,46510965
2011-10,46613480
2011-11,46012595
2011-12,47743725
2012-01,41200358
2012-02,46316184
2012-03,47329817
2012-04,46094754
2012-05,46872357
2012-06,47162605
2012-07,44667681
2012-08,43045181
2012-09,45412538
2012-10,47087760
2012-11,47805246
2012-12,44875311
2013-01,45673109
2013-02,42331837
2013-03,47312704
2013-04,46157925
2013-05,48307560
2013-06,46690983
2013-07,45829521
2013-08,46311341
2013-09,44650486
2013-10,50480484
2013-11,47905028
2013-12,47981456
2014-01,45559632
2014-02,42911735
2014-03,49064392
2014-04,50267448
2014-05,47577183
2014-06,47827709
2014-07,48204545
2014-08,46108370
2014-09,47446217
2014-10,51630657
2014-11,46605342
2014-12,49461377
2015-01,45105389
2015-02,41472191
2015-03,46822771
2015-04,46221931
2015-05,42327311
2015-06,46554512
2015-07,45695747
2015-08,39107399
2015-09,43432312
2015-10,43352046
2015-11,44285052
2015-12,42379843
2016-01,36260420
2016-02,35924541
2016-03,43002468
2016-04,41081553
2016-05,39733794
2016-06,45209071
2016-07,40881700
2016-08,40124791
2016-09,40846252
2016-10,41983329
2016-11,45309141
2016-12,45068880
2017-01,40257000
2017-02,43166536
2017-03,48637832
2017-04,50843799
2017-05,44926979
2017-06,51272452
2017-07,48830440
2017-08,47105569
2017-09,55115240
2017-10,44791239
2017-11,49707197
2017-12,49040139
2018-01,49221291
2018-02,44523530
2018-03,51309932
2018-04,49850235
2018-05,50687750
2018-06,51079375
2018-07,51810255
2018-08,51180449
2018-09,50650208
2018-10,54860310
2018-11,51479530
2018-12,48206793
2019-01,46168934
2019-02,39481803
2019-03,47003206
2019-04,48781156
2019-05,45703948
2019-06,44008404
2019-07,46078221
2019-08,44020065
2019-09,44629053
2019-10,46648756
2019-11,44040722
2019-12,45668341
2020-01,43103061
2020-02,40911819
2020-03,46167204
2020-04,36270183
2020-05,34854511
2020-06,39214071
2020-07,42785144
2020-08,39469231
2020-09,47819948
2020-10,44818534
2020-11,45751883
2020-12,51332449
2021-01,48006974
2021-02,44706907
2021-03,53690914
2021-04,51225991
2021-05,50725161
2021-06,54778905
2021-07,55461518
2021-08,53165104
2021-09,55913862
2021-10,55660373
2021-11,60330542
2021-12,60734117
2022-01,55455376
2022-02,54155835
2022-03,63786835
2022-04,57842816
2022-05,61591326
2022-06,57679934
2022-07,60241774
2022-08,56605950
2022-09,57176300
2022-10,52428092
2022-11,51771855
2022-12,54848666
2023-01,46339145
2023-02,49994593
2023-03,54882484
2023-04,49430879
2023-05,52054195
2023-06,54297754
2023-07,50457776
2023-08,51994074
2023-09,54650691
2023-10,54989950
2023-11,55561090
2023-12,57573193
2024-01,54709823
2024-02,52076390
2024-03,56518309
2024-04,56148299
2024-05,58020557
2024-06,57341634
2024-07,57458788
2024-08,57642924
2024-09,58544693
2024-10,57500192
2024-11,56288629
2024-12,61359250
2025-01,49176984
2025-02,52294560
2025-03,58064562
2025-04,58035745
2025-05,57261962
2025-06,59831183
2025-07,60726504
2025-08,58272144
2025-09,65907865
2025-10,59517485
2025-11,60752618
2025-12,69513624
2026-01,65812871
2026-02,67309506
