,imports
2000-01,12594623
2000-02,12023652
2000-03,14212011
2000-04,13344532
2000-05,13283356
2000-06,13177511
2000-07,13671876
2000-08,13441139
2000-09,13291803
2000-10,14104212
2000-11,14160418
2000-12,13175885
2001-01,12431023
2001-02,12732258
2001-03,12951886
2001-04,11212192
2001-05,11554834
2001-06,11718966
2001-07,11107564
2001-08,11337826
2001-09,11709659
2001-10,11506884
2001-11,11532771
2001-12,11301958
2002-01,11326430
2002-02,10471161
2002-03,11990097
2002-04,12559696
2002-05,12698101
2002-06,11934221
2002-07,13031773
2002-08,12860751
2002-09,12991557
2002-10,13817061
2002-11,13993431
2002-12,14451874
2003-01,14494967
2003-02,13858274
2003-03,15870217
2003-04,14758747
2003-05,13523642
2003-06,13428141
2003-07,14898003
2003-08,13541360
2003-09,14531444
2003-10,16536628
2003-11,15760750
2003-12,17624485
2004-01,16208879
2004-02,17468564
2004-03,19120078
2004-04,18829952
2004-05,17895384
2004-06,18544350
2004-07,18390091
2004-08,18124364
2004-09,18193347
2004-10,20408216
2004-11,20311965
2004-12,20967497
2005-01,19450003
2005-02,18396908
2005-03,22779866
2005-04,21244490
2005-05,21161778
2005-06,21288597
2005-07,21508824
2005-08,22000828
2005-09,22718657
2005-10,22652735
2005-11,23849552
2005-12,24186026
2006-01,23089304
2006-02,23507780
2006-03,25945007
2006-04,24485820
2006-05,26210366
2006-06,26023464
2006-07,25549715
2006-08,27029461
2006-09,27636644
2006-10,25621762
2006-11,26765115
2006-12,27518194
2007-01,27560101
2007-02,25406152
2007-03,29295460
2007-04,29596882
2007-05,29856937
2007-06,28508098
2007-07,29223201
2007-08,29642050
2007-09,27193582
2007-10,32741232
2007-11,33926124
2007-12,33895915
2008-01,36318030
2008-02,32624334
2008-03,37110561
2008-04,38260401
2008-05,38704468
2008-06,37827931
2008-07,42952491
2008-08,40420447
2008-09,39528073
2008-10,36098774
2008-11,28853646
2008-12,26575580
2009-01,24898821
2009-02,22598094
2009-03,23920622
2009-04,24873845
2009-05,23407033
2009-06,25689293
2009-07,27679764
2009-08,27408191
2009-09,29757140
2009-10,30396532
2009-11,29534690
2009-12,32920497
2010-01,31535995
2010-02,31044126
2010-03,35575754
2010-04,35522367
2010-05,34853570
2010-06,35254773
2010-07,35421718
2010-08,35274964
2010-09,35001780
2010-10,37001095
2010-11,38669304
2010-12,40056714
2011-01,41981323
2011-02,36401588
2011-03,45565952
2011-04,44188522
2011-05,45284932
2011-06,44824772
2011-07,44296129
2011-08,45381680
2011-09,45279469
2011-10,42709770
2011-11,43010481
2011-12,45488471
2012-01,43517291
2012-02,45099984
2012-03,45053406
2012-04,43957176
2012-05,44480339
2012-06,41993629
2012-07,41976900
2012-08,41115675
2012-09,42559535
2012-10,43379893
2012-11,43381537
2012-12,43069109
2013-01,45296942
2013-02,40458472
2013-03,43976739
2013-04,43648241
2013-05,42389874
2013-06,40719394
2013-07,43384403
2013-08,41593821
2013-09,41055405
2013-10,45604963
2013-11,43106074
2013-12,44351186
2014-01,44746013
2014-02,42061554
2014-03,45558675
2014-04,45873333
2014-05,42607483
2014-06,42476381
2014-07,45863916
2014-08,42791869
2014-09,44184712
2014-10,44097421
2014-11,41343254
2014-12,43909896
2015-01,39283025
2015-02,33998316
2015-03,38485935
2015-04,37858798
2015-05,36039800
2015-06,36598398
2015-07,38647067
2015-08,34772163
2015-09,34540504
2015-10,36762975
2015-11,34049682
2015-12,35462311
2016-01,31321901
2016-02,29163323
2016-03,33344423
2016-04,32388783
2016-05,33025444
2016-06,33890231
2016-07,33371802
2016-08,35103611
2016-09,33988443
2016-10,35050112
2016-11,37240858
2016-12,38303957
2017-01,37645403
2017-02,36203282
2017-03,42579492
2017-04,37959391
2017-05,39287764
2017-06,40551012
2017-07,38607157
2017-08,40549772
2017-09,41695884
2017-10,37856562
2017-11,42013512
2017-12,43529066
2018-01,45805322
2018-02,41722154
2018-03,44897838
2018-04,43693963
2018-05,44458729
2018-06,45000164
2018-07,44917044
2018-08,44360778
2018-09,41032928
2018-10,48480618
2018-11,46808199
2018-12,44024694
2019-01,45153389
2019-02,36651437
2019-03,41992349
2019-04,45047164
2019-05,43619667
2019-06,40104812
2019-07,43762245
2019-08,42457250
2019-09,38741473
2019-10,41396517
2019-11,40729215
2019-12,43687430
2020-01,42718100
2020-02,36977247
2020-03,41803860
2020-04,37932611
2020-05,34661974
2020-06,35794860
2020-07,38849185
2020-08,35817929
2020-09,39400190
2020-10,39093795
2020-11,39944763
2020-12,44638246
2021-01,44456822
2021-02,42404636
2021-03,49742555
2021-04,50891152
2021-05,47910522
2021-06,50429027
2021-07,53676256
2021-08,51581093
2021-09,51636341
2021-10,53847824
2021-11,57357549
2021-12,61159671
2022-01,60606721
2022-02,53482054
2022-03,63811102
2022-04,60213185
2022-05,63168380
2022-06,60149906
2022-07,65259838
2022-08,66027733
2022-09,61012837
2022-10,59167185
2022-11,58847655
2022-12,59623062
2023-01,59037259
2023-02,55370498
2023-03,59635920
2023-04,51940137
2023-05,54251194
2023-06,53055480
2023-07,48738114
2023-08,51009758
2023-09,50972525
2023-10,53440582
2023-11,51997805
2023-12,53122854
2024-01,54474611
2024-02,48221860
2024-03,52112905
2024-04,54821181
2024-05,53132937
2024-06,49090193
2024-07,53838742
2024-08,54054894
2024-09,52102925
2024-10,54331589
2024-11,50718992
2024-12,54866380
2025-01,51172292
2025-02,48329049
2025-03,53341032
2025-04,53232716
2025-05,50304603
2025-06,50810101
2025-07,54190714
2025-08,51853002
2025-09,56408389
2025-10,53500265
2025-11,51284605
2025-12,57367684
2026-01,57098343
2026-02,51933659
