,m2
2003-10,830331.2
2003-11,843054.4
2003-12,849773.2
2004-01,854520.6
2004-02,860954.0
2004-03,868066.8
2004-04,870908.7
2004-05,873417.5
2004-06,878820.5
2004-07,879995.4
2004-08,885023.4
2004-09,892677.0
2004-10,893075.4
2004-11,897232.7
2004-12,899295.0
2005-01,902992.8
2005-02,910391.0
2005-03,922942.5
2005-04,930989.1
2005-05,933697.1
2005-06,939150.7
2005-07,948372.8
2005-08,960979.0
2005-09,957486.9
2005-10,957390.9
2005-11,955328.2
2005-12,960235.2
2006-01,957326.7
2006-02,961576.6
2006-03,965391.3
2006-04,971394.3
2006-05,977381.9
2006-06,987668.5
2006-07,991033.5
2006-08,998024.7
2006-09,1011962.9
2006-10,1023316.4
2006-11,1030437.4
2006-12,1041540.1
2007-01,1049517.4
2007-02,1057158.9
2007-03,1059549.0
2007-04,1063156.2
2007-05,1064962.8
2007-06,1075534.2
2007-07,1077650.1
2007-08,1082976.6
2007-09,1087170.4
2007-10,1088167.2
2007-11,1089973.1
2007-12,1097590.8
2008-01,1105916.8
2008-02,1117083.7
2008-03,1128670.7
2008-04,1143956.6
2008-05,1159581.9
2008-06,1175866.9
2008-07,1190474.9
2008-08,1198210.2
2008-09,1208134.1
2008-10,1237588.2
2008-11,1263562.7
2008-12,1286922.8
2009-01,1292462.7
2009-02,1303385.4
2009-03,1315293.5
2009-04,1329910.7
2009-05,1336604.2
2009-06,1339126.0
2009-07,1350651.5
2009-08,1380776.9
2009-09,1384414.2
2009-10,1394094.4
2009-11,1400475.5
2009-12,1399323.9
2010-01,1406577.5
2010-02,1425069.1
2010-03,1435032.5
2010-04,1448987.9
2010-05,1456909.3
2010-06,1466581.2
2010-07,1482417.4
2010-08,1488033.3
2010-09,1495141.5
2010-10,1498033.9
2010-11,1506545.1
2010-12,1516914.0
2011-01,1520642.1
2011-02,1521655.1
2011-03,1530223.2
2011-04,1539009.1
2011-05,1547725.2
2011-06,1550022.4
2011-07,1555990.0
2011-08,1571378.8
2011-09,1579257.0
2011-10,1597926.7
2011-11,1603013.1
2011-12,1599168.0
2012-01,1603967.0
2012-02,1612098.2
2012-03,1618320.7
2012-04,1629427.9
2012-05,1633889.0
2012-06,1647303.9
2012-07,1655328.1
2012-08,1665020.0
2012-09,1665281.6
2012-10,1676747.9
2012-11,1675811.9
2012-12,1686156.0
