,종가
2014-12-31,2.43
2015-01-31,2.27
2015-02-28,2.29
2015-03-31,1.99
2015-04-30,2.08
2015-05-31,2.01
2015-06-30,2.01
2015-07-31,2.01
2015-08-31,1.99
2015-09-30,1.89
2015-10-31,2.0
2015-11-30,2.33
2015-12-31,2.11
2016-01-31,2.04
2016-02-29,1.94
2016-03-31,1.93
2016-04-30,1.92
2016-05-31,1.93
2016-06-30,1.69
2016-07-31,1.64
2016-08-31,1.69
2016-09-30,1.67
2016-10-31,1.85
2016-11-30,2.15
2016-12-31,2.13
2017-01-31,2.14
2017-02-28,2.14
2017-03-31,2.18
2017-04-30,2.2
2017-05-31,2.19
2017-06-30,2.24
2017-07-31,2.26
2017-08-31,2.3
2017-09-30,2.43
2017-10-31,2.73
2017-11-30,2.63
2017-12-31,2.68
2018-01-31,2.81
2018-02-28,2.82
2018-03-31,2.8
2018-04-30,2.82
2018-05-31,2.82
2018-06-30,2.77
2018-07-31,2.78
2018-08-31,2.42
2018-09-30,2.45
2018-10-31,2.39
2018-11-30,2.37
2018-12-31,2.29
2019-01-31,2.26
2019-02-28,2.26
2019-03-31,2.16
2019-04-30,2.17
2019-05-31,2.08
2019-06-30,1.98
2019-07-31,1.8
2019-08-31,1.69
2019-09-30,1.8
2019-10-31,1.97
2019-11-30,1.92
2019-12-31,1.94
2020-01-31,1.9
2020-02-29,1.71
2020-03-31,2.08
2020-04-30,2.21
2020-05-31,2.15
2020-06-30,2.25
2020-07-31,2.17
2020-08-31,2.26
2020-09-30,2.19
2020-10-31,2.24
2020-11-30,2.23
2020-12-31,2.2
2021-01-31,2.09
2021-02-28,2.05
2021-03-31,2.06
2021-04-30,1.91
2021-05-31,1.94
2021-06-30,1.96
2021-07-31,1.84
2021-08-31,1.82
2021-09-30,2.04
2021-10-31,2.57
2021-11-30,2.37
2021-12-31,2.41
2022-01-31,2.76
2022-02-28,2.85
2022-03-31,3.34
2022-04-30,3.68
2022-05-31,3.8
2022-06-30,4.36
2022-07-31,3.96
2022-08-31,4.65
2022-09-30,5.28
2022-10-31,5.58
2022-11-30,5.44
2022-12-31,5.23
2023-01-31,4.34
2023-02-28,4.48
2023-03-31,4.07
2023-04-30,4.1
2023-05-31,4.26
2023-06-30,4.47
2023-07-31,4.46
2023-08-31,4.47
2023-09-30,4.65
2023-10-31,4.9
2023-11-30,4.31
2023-12-31,3.89
2024-01-31,4.0
2024-02-29,4.03
2024-03-31,3.92
2024-04-30,3.99
2024-05-31,3.87
2024-06-30,3.65
2024-07-31,3.45
2024-08-31,3.5
2024-09-30,3.39
2024-10-31,3.5
2024-11-30,3.19
2024-12-31,3.28
2025-01-31,3.2
2025-02-28,3.15
2025-03-31,3.14
2025-04-30,2.86
2025-05-31,2.91
2025-06-30,2.96
2025-07-31,2.95
2025-08-31,2.9
2025-09-30,3.02
2025-10-31,3.12
2025-11-30,3.42
2025-12-31,3.47
2026-01-31,3.65
2026-02-28,3.63
2026-03-31,4.16
2026-04-30,3.99
