,체결가
2016-07-31,2016.19
2016-08-31,2034.65
2016-09-30,2043.63
2016-10-31,2008.19
2016-11-30,1983.48
2016-12-31,2026.46
2017-01-31,2067.57
2017-02-28,2091.64
2017-03-31,2160.23
2017-04-30,2205.44
2017-05-31,2347.38
2017-06-30,2391.79
2017-07-31,2402.71
2017-08-31,2363.19
2017-09-30,2394.47
2017-10-31,2523.43
2017-11-30,2476.37
2017-12-31,2467.49
2018-01-31,2566.46
2018-02-28,2427.36
2018-03-31,2445.85
2018-04-30,2515.38
2018-05-31,2423.01
2018-06-30,2326.13
2018-07-31,2295.26
2018-08-31,2322.88
2018-09-30,2343.07
2018-10-31,2029.69
2018-11-30,2096.86
2018-12-31,2041.04
2019-01-31,2204.85
2019-02-28,2195.44
2019-03-31,2140.67
2019-04-30,2203.59
2019-05-31,2041.74
2019-06-30,2130.62
2019-07-31,2024.55
2019-08-31,1967.79
2019-09-30,2063.05
2019-10-31,2083.48
2019-11-30,2087.96
2019-12-31,2197.67
2020-01-31,2119.01
2020-02-29,1987.01
2020-03-31,1754.64
2020-04-30,1947.56
2020-05-31,2029.6
2020-06-30,2108.33
2020-07-31,2249.37
2020-08-31,2326.17
2020-09-30,2327.89
2020-10-31,2267.15
2020-11-30,2591.34
2020-12-31,2873.47
2021-01-31,2976.21
2021-02-28,3012.95
2021-03-31,3061.42
2021-04-30,3147.86
2021-05-31,3203.92
2021-06-30,3296.68
2021-07-31,3202.32
2021-08-31,3199.27
2021-09-30,3068.82
2021-10-31,2970.68
2021-11-30,2839.01
2021-12-31,2977.65
2022-01-31,2663.34
2022-02-28,2699.18
2022-03-31,2757.65
2022-04-30,2695.05
2022-05-31,2685.9
2022-06-30,2332.64
2022-07-31,2451.5
2022-08-31,2472.05
2022-09-30,2155.49
2022-10-31,2293.61
2022-11-30,2472.53
2022-12-31,2236.4
2023-01-31,2425.08
2023-02-28,2412.85
2023-03-31,2476.86
2023-04-30,2501.53
2023-05-31,2577.12
2023-06-30,2564.28
2023-07-31,2632.58
2023-08-31,2556.27
2023-09-30,2465.07
2023-10-31,2277.99
2023-11-30,2535.29
2023-12-31,2655.28
2024-01-31,2497.09
2024-02-29,2642.36
2024-03-31,2746.63
2024-04-30,2692.06
2024-05-31,2636.52
2024-06-30,2797.82
2024-07-31,2770.69
2024-08-31,2674.31
2024-09-30,2593.27
2024-10-31,2556.15
2024-11-30,2455.91
2024-12-31,2399.49
2025-01-31,2517.37
2025-02-28,2532.78
2025-03-31,2481.12
2025-04-30,2556.61
2025-05-31,2697.67
2025-06-30,3071.7
2025-07-31,3245.44
2025-08-31,3186.01
2025-09-30,3424.6
2025-10-31,4107.5
2025-11-30,3926.59
2025-12-31,4214.17
2026-01-31,5224.36
2026-02-28,6244.13
2026-03-31,5052.46
2026-04-30,6417.93
