,종가
2014-12-31,2.1
2015-01-31,1.97
2015-02-28,2.03
2015-03-31,1.72
2015-04-30,1.84
2015-05-31,1.75
2015-06-30,1.79
2015-07-31,1.77
2015-08-31,1.74
2015-09-30,1.57
2015-10-31,1.66
2015-11-30,1.79
2015-12-31,1.66
2016-01-31,1.56
2016-02-29,1.45
2016-03-31,1.44
2016-04-30,1.45
2016-05-31,1.49
2016-06-30,1.25
2016-07-31,1.22
2016-08-31,1.31
2016-09-30,1.25
2016-10-31,1.44
2016-11-30,1.71
2016-12-31,1.64
2017-01-31,1.68
2017-02-28,1.67
2017-03-31,1.66
2017-04-30,1.68
2017-05-31,1.66
2017-06-30,1.7
2017-07-31,1.72
2017-08-31,1.75
2017-09-30,1.89
2017-10-31,2.16
2017-11-30,2.08
2017-12-31,2.14
2018-01-31,2.27
2018-02-28,2.27
2018-03-31,2.22
2018-04-30,2.22
2018-05-31,2.2
2018-06-30,2.12
2018-07-31,2.12
2018-08-31,1.92
2018-09-30,2.01
2018-10-31,1.94
2018-11-30,1.9
2018-12-31,1.82
2019-01-31,1.81
2019-02-28,1.81
2019-03-31,1.69
2019-04-30,1.7
2019-05-31,1.59
2019-06-30,1.47
2019-07-31,1.29
2019-08-31,1.17
2019-09-30,1.3
2019-10-31,1.47
2019-11-30,1.39
2019-12-31,1.36
2020-01-31,1.3
2020-02-29,1.1
2020-03-31,1.07
2020-04-30,1.0
2020-05-31,0.82
2020-06-30,0.84
2020-07-31,0.79
2020-08-31,0.94
2020-09-30,0.84
2020-10-31,0.93
2020-11-30,0.98
2020-12-31,0.97
2021-01-31,0.97
2021-02-28,1.02
2021-03-31,1.13
2021-04-30,1.14
2021-05-31,1.22
2021-06-30,1.44
2021-07-31,1.41
2021-08-31,1.39
2021-09-30,1.59
2021-10-31,2.1
2021-11-30,1.79
2021-12-31,1.79
2022-01-31,2.18
2022-02-28,2.24
2022-03-31,2.66
2022-04-30,2.95
2022-05-31,3.02
2022-06-30,3.55
2022-07-31,3.0
2022-08-31,3.68
2022-09-30,4.18
2022-10-31,4.18
2022-11-30,3.68
2022-12-31,3.72
2023-01-31,3.32
2023-02-28,3.79
2023-03-31,3.27
2023-04-30,3.29
2023-05-31,3.45
2023-06-30,3.66
2023-07-31,3.68
2023-08-31,3.71
2023-09-30,3.88
2023-10-31,4.08
2023-11-30,3.58
2023-12-31,3.15
2024-01-31,3.26
2024-02-29,3.38
2024-03-31,3.32
2024-04-30,3.52
2024-05-31,3.45
2024-06-30,3.18
2024-07-31,3.0
2024-08-31,2.95
2024-09-30,2.81
2024-10-31,2.93
2024-11-30,2.6
2024-12-31,2.59
2025-01-31,2.57
2025-02-28,2.56
2025-03-31,2.56
2025-04-30,2.26
2025-05-31,2.34
2025-06-30,2.45
2025-07-31,2.46
2025-08-31,2.42
2025-09-30,2.58
2025-10-31,2.71
2025-11-30,2.99
2025-12-31,2.95
2026-01-31,3.13
2026-02-28,3.04
2026-03-31,3.55
2026-04-30,3.33
