,매매기준율
2010-02-28,1159.0
2010-03-31,1129.0
2010-04-30,1107.0
2010-05-31,1202.5
2010-06-30,1219.0
2010-07-31,1185.0
2010-08-31,1198.0
2010-09-30,1138.0
2010-10-31,1126.0
2010-11-30,1160.0
2010-12-31,1120.0
2011-01-31,1122.0
2011-02-28,1127.0
2011-03-31,1096.5
2011-04-30,1068.5
2011-05-31,1078.0
2011-06-30,1068.5
2011-07-31,1054.0
2011-08-31,1066.5
2011-09-30,1178.0
2011-10-31,1108.0
2011-11-30,1145.0
2011-12-31,1159.0
2012-01-31,1122.0
2012-02-29,1117.0
2012-03-31,1132.5
2012-04-30,1129.0
2012-05-31,1178.0
2012-06-30,1146.5
2012-07-31,1127.0
2012-08-31,1134.0
2012-09-30,1112.5
2012-10-31,1091.0
2012-11-30,1083.5
2012-12-31,1063.0
2013-01-31,1088.0
2013-02-28,1084.5
2013-03-31,1111.5
2013-04-30,1104.5
2013-05-31,1131.5
2013-06-30,1140.0
2013-07-31,1122.0
2013-08-31,1109.0
2013-09-30,1073.5
2013-10-31,1060.5
2013-11-30,1058.5
2013-12-31,1045.0
2014-01-31,1072.0
2014-02-28,1067.7
2014-03-31,1063.5
2014-04-30,1032.7
2014-05-31,1020.0
2014-06-30,1011.8
2014-07-31,1031.0
2014-08-31,1013.7
2014-09-30,1055.5
2014-10-31,1067.5
2014-11-30,1108.2
2014-12-31,1088.5
2015-01-31,1095.7
2015-02-28,1100.5
2015-03-31,1110.0
2015-04-30,1074.2
2015-05-31,1109.1
2015-06-30,1116.2
2015-07-31,1172.5
2015-08-31,1183.5
2015-09-30,1181.5
2015-10-31,1138.5
2015-11-30,1158.0
2015-12-31,1177.5
2016-01-31,1204.5
2016-02-29,1236.5
2016-03-31,1140.5
2016-04-30,1140.5
2016-05-31,1191.0
2016-06-30,1151.0
2016-07-31,1116.0
2016-08-31,1118.0
2016-09-30,1104.0
2016-10-31,1145.0
2016-11-30,1173.0
2016-12-31,1205.0
2017-01-31,1162.0
2017-02-28,1130.0
2017-03-31,1118.5
2017-04-30,1140.5
2017-05-31,1118.5
2017-06-30,1145.0
2017-07-31,1120.5
2017-08-31,1127.0
2017-09-30,1146.0
2017-10-31,1119.5
2017-11-30,1088.0
2017-12-31,1068.5
2018-01-31,1068.0
2018-02-28,1082.5
2018-03-31,1063.0
2018-04-30,1070.5
2018-05-31,1078.0
2018-06-30,1114.5
2018-07-31,1118.5
2018-08-31,1117.5
2018-09-30,1111.0
2018-10-31,1140.5
2018-11-30,1122.0
2018-12-31,1116.0
2019-01-31,1113.0
2019-02-28,1127.0
2019-03-31,1137.0
2019-04-30,1167.0
2019-05-31,1191.5
2019-06-30,1155.5
2019-07-31,1183.0
2019-08-31,1209.5
2019-09-30,1199.0
2019-10-31,1168.5
2019-11-30,1180.0
2019-12-31,1156.0
2020-01-31,1194.5
2020-02-29,1210.5
2020-03-31,1224.0
2020-04-30,1224.0
2020-05-31,1238.0
2020-06-30,1203.0
2020-07-31,1191.0
2020-08-31,1187.0
2020-09-30,1169.0
2020-10-31,1134.5
2020-11-30,1107.5
2020-12-31,1088.0
2021-01-31,1117.5
2021-02-28,1126.0
2021-03-31,1130.0
2021-04-30,1117.5
2021-05-31,1108.5
2021-06-30,1128.5
2021-07-31,1152.0
2021-08-31,1157.5
2021-09-30,1186.0
2021-10-31,1174.0
2021-11-30,1190.0
2021-12-31,1190.5
2022-01-31,1209.0
2022-02-28,1204.5
2022-03-31,1213.5
2022-04-30,1263.0
2022-05-31,1248.0
2022-06-30,1301.5
2022-07-31,1304.5
2022-08-31,1344.5
2022-09-30,1439.0
2022-10-31,1431.0
2022-11-30,1319.0
2022-12-31,1263.0
2023-01-31,1236.0
2023-02-28,1310.0
2023-03-31,1310.0
2023-04-30,1343.0
2023-05-31,1325.0
2023-06-30,1319.0
2023-07-31,1279.5
2023-08-31,1326.5
2023-09-30,1362.0
2023-10-31,1354.0
2023-11-30,1301.0
2023-12-31,1299.0
2024-01-31,1335.0
2024-02-29,1336.0
2024-03-31,1347.5
2024-04-30,1385.0
2024-05-31,1385.0
2024-06-30,1382.0
2024-07-31,1371.0
2024-08-31,1339.0
2024-09-30,1320.0
2024-10-31,1376.0
2024-11-30,1396.5
2024-12-31,1477.0
2025-01-31,1459.0
2025-02-28,1462.0
2025-03-31,1474.0
2025-04-30,1437.5
2025-05-31,1383.6
2025-06-30,1354.0
2025-07-31,1395.0
2025-08-31,1391.5
2025-09-30,1406.0
2025-10-31,1431.2
2025-11-30,1470.5
2025-12-31,1447.0
2026-01-31,1452.0
2026-02-28,1466.5
2026-03-31,1510.5
2026-04-30,1478.0
